LastName,FirstName,BirthDate,BirthCountry,Gender,CitizenshipCountry,CitizenshipBasis,CitizenshipStartDate,PassportCountry,PassportIssueDate,PassportExpirationDate,CurrentEmploymentType,CurrentEmploymentTitle,CurrentEmploymentStartDate,EmailAddress,MilitaryServiceBranch,MilitaryDischargeType,MilitaryDischargeDate
Bramar,Mat,19/12/81,Tethys,Male,Tethys,BirthNation,19/12/81,Tethys,12/12/07,11/12/17,Administration,Assistant to CEO,1/7/05,Mat.Bramar@gastech.com.kronos,,,
Ribera,Anda,17/11/75,Tethys,Female,Tethys,BirthNation,17/11/75,Tethys,15/6/09,14/6/19,Administration,Assistant to CFO,30/10/09,Anda.Ribera@gastech.com.kronos,,,
Pantanal,Rachel,22/8/84,Tethys,Female,Tethys,BirthNation,22/8/84,Tethys,13/6/13,12/6/23,Administration,Assistant to CIO,1/10/13,Rachel.Pantanal@gastech.com.kronos,,,
Lagos,Linda,26/1/80,Tethys,Female,Tethys,BirthNation,26/1/80,Tethys,1/11/09,31/10/19,Administration,Assistant to COO,1/2/10,Linda.Lagos@gastech.com.kronos,,,
Mies Haber,Ruscella,26/4/64,Kronos,Female,Kronos,BirthNation,26/4/64,,,,Administration,Assistant to Engineering Group Manager,2/4/03,Ruscella.Mies.Haber@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1/10/84
Forluniau,Carla,2/6/81,Kronos,Female,Kronos,BirthNation,2/6/81,,,,Administration,Assistant to IT Group Manager,7/3/05,Carla.Forluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/01
Lais,Cornelia,7/7/91,Kronos,Female,Kronos,BirthNation,7/7/91,,,,Administration,Assistant to Security Group Manager,22/12/11,Cornelia.Lais@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/11
Onda,Marin,31/12/69,Tethys,Male,Tethys,BirthNation,31/12/69,Tethys,15/4/05,14/4/15,Engineering,Drill Site Manager,13/4/03,Marin.Onda@gastech.com.kronos,,,
Borrasca,Isande,22/10/79,Tethys,Female,Tethys,BirthNation,22/10/79,Tethys,3/10/08,2/10/18,Engineering,Drill Technician,18/2/04,Isande.Borrasca@gastech.com.kronos,,,
Calzas,Axel,13/9/75,Tethys,Male,Tethys,BirthNation,13/9/75,Tethys,31/1/12,30/1/22,Engineering,Drill Technician,17/7/97,Axel.Calzas@gastech.com.kronos,,,
Orilla,Kare,29/2/64,Tethys,Female,Tethys,BirthNation,29/2/64,Tethys,1/7/13,30/6/23,Engineering,Drill Technician,12/11/05,Kare.Orilla@gastech.com.kronos,,,
Orilla,Elsa,12/4/82,Tethys,Female,Tethys,BirthNation,12/4/82,Tethys,28/2/10,27/2/20,Engineering,Drill Technician,26/5/04,Elsa.Orilla@gastech.com.kronos,,,
Tempestad,Brand,14/5/79,Tethys,Male,Tethys,BirthNation,14/5/79,Tethys,5/5/12,4/5/22,Engineering,Drill Technician,12/6/04,Brand.Tempestad@gastech.com.kronos,,,
Azada,Lars,30/4/73,Tethys,Male,Tethys,BirthNation,30/4/73,Tethys,1/6/11,31/5/21,Engineering,Engineer,1/12/95,Lars.Azada@gastech.com.kronos,TethanDefenseForceAir,GeneralDischarge,1/10/95
Balas,Felix,4/3/60,Tethys,Male,Tethys,BirthNation,4/3/60,Tethys,15/4/05,14/4/15,Engineering,Engineer,2/9/04,Felix.Balas@gastech.com.kronos,TethanDefenseForceNavy,HonorableDischarge,1/10/88
Dedos,Lidelse,14/2/52,Tethys,Female,Tethys,BirthNation,14/2/52,Tethys,13/8/08,12/8/18,Engineering,Engineering Group Manager,1/3/03,Lidelse.Dedos@gastech.com.kronos,,,
Frente,Birgitta,31/7/76,Tethys,Female,Tethys,BirthNation,31/7/76,Tethys,17/3/06,16/3/16,Engineering,Geologist,3/5/99,Birgitta.Frente@gastech.com.kronos,,,
Nubarron,Adra,6/6/68,Tethys,Female,Tethys,BirthNation,6/6/68,Tethys,12/11/07,11/11/17,Engineering,Geologist,8/7/94,Adra.Nubarron@gastech.com.kronos,,,
Cazar,Gustav,6/11/86,Tethys,Male,Tethys,BirthNation,6/11/86,Tethys,10/6/09,9/6/19,Engineering,Hydraulic Technician,15/9/09,Gustav.Cazar@gastech.com.kronos,,,
Frente,Vira,29/12/77,Tethys,Female,Tethys,BirthNation,29/12/77,Tethys,20/2/10,19/2/20,Engineering,Hydraulic Technician,1/12/01,Vira.Frente@gastech.com.kronos,,,
Vasco-Pais,Willem,18/3/75,Tethys,Male,Tethys,BirthNation,18/3/75,Tethys,26/11/11,25/11/21,Executive,Environmental Safety Advisor,5/6/10,Willem.Vasco-Pais@gastech.com.kronos,,,
Sanjorge Jr.,Sten,29/8/48,Tethys,Male,Tethys,BirthNation,29/8/48,Tethys,21/4/13,20/4/23,Executive,President/CEO,9/11/90,Sten.Sanjorge Jr.@gastech.com.kronos,,,
Barranco,Ingrid,26/10/61,Tethys,Female,Tethys,BirthNation,26/10/61,Tethys,1/7/13,30/6/23,Executive,SVP/CFO,30/9/03,Ingrid.Barranco@gastech.com.kronos,,,
Campo-Corrente,Ada,26/11/51,Tethys,Female,Tethys,BirthNation,26/11/51,Tethys,14/7/13,13/7/23,Executive,SVP/CIO,5/10/04,Ada.Campo-Corrente@gastech.com.kronos,,,
Strum,Orhan,18/10/63,Asteria,Male,Tethys,ParentCitizenship,18/10/63,Tethys,2/6/11,1/6/21,Executive,SVP/COO,7/8/03,Orhan.Strum@gastech.com.kronos,,,
Ovan,Bertrand,12/12/64,Tethys,Male,Tethys,BirthNation,12/12/64,Tethys,3/10/08,2/10/18,Facilities,Facilities Group Manager,1/10/98,Bertrand.Ovan@gastech.com.kronos,TethanDefenseForceAir,HonorableDischarge,1/10/93
Arpa,Emile,1/10/92,Kronos,Male,Kronos,BirthNation,1/10/92,,,,Facilities,Janitor,18/3/13,Emile.Arpa@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/12
Awelon,Varro,5/5/86,Kronos,Male,Kronos,BirthNation,5/5/86,,,,Facilities,Janitor,22/10/12,Varro.Awelon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/06
Coginian,Dante,1/12/71,Kronos,Male,Kronos,BirthNation,1/12/71,,,,Facilities,Lead Janitor,7/1/95,Dante.Coginian@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/92
Hafon,Albina,14/6/87,Kronos,Female,Kronos,BirthNation,14/6/87,,,,Facilities,Truck Driver,12/9/09,Albina.Hafon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1/10/07
